episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
246,300,42.31218575871813,0,0,0.545805,0.15022730752825736
247,51,-1.3449533667582143,0,0,0.545199375,0.14980398995034835
248,141,5.734735391857292,0,0,0.543525,0.1491234117048852
249,31,-3.242774080662896,0,0,0.543156875,0.1477007524621102
250,176,71.98292198994628,28,1,0.5410668750000001,0.14932510036636482
251,212,85.96670025801777,29,1,0.5385493750000001,0.15060259804199888
252,228,24.97185572894574,0,0,0.535841875,0.15515128385863805
253,300,80.88846359230932,25,1,0.5322793750000001,0.1550586002568404
254,300,77.48406392410456,10,1,0.528716875,0.16079177012046178
255,300,23.91859377377924,0,0,0.5251543750000001,0.15597371804217497
256,50,-1.3324440353501528,0,0,0.524560625,0.1599276326596737
257,70,0.902205320886857,0,0,0.523729375,0.15632653055446488
258,96,4.419932848326871,0,0,0.5225893750000001,0.15668655815534294
259,57,-0.18408493742413778,0,0,0.5219125,0.16889634636933343
260,47,-2.820649919493106,0,0,0.521354375,0.15265943870899526
261,288,53.24793380369199,0,0,0.5179343750000001,0.16258605207420057
262,96,2.761720682955426,0,0,0.5167943750000001,0.16307130898348987
263,287,26.81612386810884,0,0,0.5133862499999999,0.16244493173078378
264,138,17.896231714770146,0,0,0.5117475,0.16410249822597572
265,114,15.925241420166559,0,0,0.51039375,0.1632012481752195
266,300,43.793903657534315,0,0,0.5068312500000001,0.16214135296642782
267,300,97.6556889557935,0,0,0.50326875,0.1626285796115796
268,187,25.645514939036605,0,0,0.5010481250000001,0.16625331075274372
269,135,17.41591555581941,0,0,0.49944500000000003,0.16879947886422828
270,200,42.259970547135666,0,0,0.49707,0.16511560775339604
271,64,0.13026159817014715,0,0,0.49631000000000003,0.16574426740407944
272,300,114.24651686156535,29,1,0.4927475,0.17058180232842762
273,240,18.04760524141909,0,0,0.4898975,0.16664100208630164
274,63,-1.3403808815011051,0,0,0.489149375,0.17740583999289405
275,102,1.3561862212555118,0,0,0.487938125,0.17383723793660893
276,99,-0.45080618562283536,0,0,0.4867625,0.18170458462202188
277,74,2.043568186092049,0,0,0.48588375000000006,0.1692372986392395
278,69,0.31524470588959286,0,0,0.4850643750000001,0.16881171462760455
279,200,48.240639473737374,0,0,0.482689375,0.17495911188423632
280,28,-3.4902531179989085,0,0,0.482356875,0.16335088706442288
281,142,15.148071358853034,0,0,0.480670625,0.17614702161558918
282,300,131.35783894281138,34,1,0.4771081250000001,0.17781902700662613
283,95,0.5654720429958306,0,0,0.47598000000000007,0.18157160415461188
284,300,62.13275140371638,0,0,0.47241750000000005,0.17674864528079828
285,182,29.655931332109027,0,0,0.47025625000000004,0.1761044033772343
286,150,28.179644159810486,0,0,0.468475,0.17259683032830556
287,149,2.8315257694346547,0,0,0.466705625,0.177097540473778
288,233,57.358180426666195,0,0,0.46393875000000007,0.18373870513853596
289,208,21.028542300549926,0,0,0.46146875,0.18478777528238985
290,83,3.870367200352984,0,0,0.460483125,0.19703696802797088
291,153,13.622353607635482,0,0,0.45866625000000005,0.1861958497392586
292,51,-1.4495488840642787,0,0,0.458060625,0.18399824260496625
293,146,23.492160416348497,0,0,0.456326875,0.1884729744330661
294,73,0.216753613638077,0,0,0.45546,0.17836302284100283
295,300,47.47902278664847,0,0,0.45189750000000006,0.19358652420341968
296,65,0.42719519394341887,0,0,0.4511256250000001,0.20309512202556318
297,155,20.611140631725853,0,0,0.44928500000000005,0.19056445494774849
298,89,3.6002230156627,0,0,0.4482281250000001,0.1888321249672536
299,278,128.67603503298454,49,1,0.44492687500000005,0.19635676959757326
300,79,1.2659725744800543,0,0,0.44398875000000004,0.19335378838490835
301,90,4.046057344745487,0,0,0.44292,0.19664427050285868
302,153,8.042957736253353,0,0,0.44110312500000004,0.1959687532260527
303,300,119.22366850039492,23,1,0.437540625,0.20230231270194055
304,201,46.99456038493392,0,0,0.43515375,0.20118553150649093
305,122,6.097217680401272,0,0,0.433705,0.19979634319172532
306,202,40.8046425589351,0,0,0.4313062500000001,0.19896912205927442
307,63,-0.23443931091142733,0,0,0.430558125,0.199177590036203
308,300,114.59759700878034,23,1,0.426995625,0.2129037450502316
309,203,26.05301604062707,0,0,0.424585,0.21249306627682277
310,209,37.25247097890665,0,0,0.422103125,0.21890341415644832
311,164,15.637051349714387,0,0,0.42015562500000003,0.21175546130937775
312,233,81.81352453799985,25,1,0.41738875,0.21130284973991786
313,71,2.069832911349317,0,0,0.41654562500000003,0.21585401976612253
314,35,-3.1759112669689604,0,0,0.41613,0.21288789766175406
315,258,36.3050410133784,0,0,0.4130662500000001,0.21211420100673226
316,35,-3.0987739083552146,0,0,0.41265062499999994,0.21783485795770371
317,135,3.5148289190268196,0,0,0.4110475,0.21224142379230923
318,52,-2.41879013689338,0,0,0.41042999999999996,0.20473402452010375
319,194,72.32104799808273,27,1,0.40812625,0.21857127236183158
320,300,40.37595333289734,0,0,0.4045637500000001,0.2099980341643095
321,300,84.71119403066115,0,0,0.40100125,0.21533575646579264
322,119,10.842938917190203,0,0,0.39958812500000007,0.2148311126257191
323,300,125.21211609716393,9,1,0.39602562500000005,0.21502837325135868
324,134,8.630704929100382,0,0,0.394434375,0.2175418783479662
325,180,23.66392072380617,0,0,0.3922968750000001,0.23233238375849194
326,133,23.765226983459435,0,0,0.39071750000000005,0.24307443515250557
327,300,65.85221097056956,0,0,0.387155,0.23937409838040669
328,243,85.20954907526787,25,1,0.384269375,0.23892544234485782
329,300,39.96462315460781,0,0,0.3807068750000001,0.24078905666867892
330,132,1.679318458667522,0,0,0.37913937500000006,0.2397270719661857
331,89,5.699911939106774,0,0,0.3780825000000001,0.23992451405927037
332,250,90.41808766452016,10,1,0.37511375,0.24374172231554986
333,199,7.425491014781874,0,0,0.372750625,0.24522791432226124
334,212,38.194133879060836,0,0,0.37023312500000005,0.24402965021864423
335,300,71.58288624687805,0,0,0.36667062500000003,0.25635395318269727
336,82,2.1735240060990098,0,0,0.36569687500000003,0.2510447720202004
337,164,66.47094044624279,27,1,0.36374937500000004,0.26063235585645933
338,210,50.84502867224162,0,0,0.3612556250000001,0.256375672348908
339,115,6.670959541520548,0,0,0.35989000000000004,0.2673263994248017
340,75,-0.9704884147611121,0,0,0.358999375,0.2686743700504303
341,59,-0.04543816653199961,0,0,0.35829875,0.2659425091440395
342,293,40.63412990840925,0,0,0.35481937500000005,0.2695598264348792
343,300,62.89533851334356,0,0,0.351256875,0.2663815226405859
344,196,46.85365774563437,0,0,0.348929375,0.26033218357027793
345,300,145.00833914861423,31,1,0.3453668750000001,0.2698601483305295
346,207,34.40422926979178,0,0,0.34290875,0.27308117299552126
347,126,6.744551328510546,0,0,0.3414125,0.2682912801466291
348,129,19.886617553892737,0,0,0.33988062499999994,0.2769002617560616
349,266,77.46768016212182,15,1,0.33672187500000006,0.28457981488086226
350,40,-2.6778679760973416,0,0,0.33624687500000006,0.2801899783313274
351,300,58.18090281637124,0,0,0.33268437500000003,0.2827456496159236
352,300,64.39062129366097,0,0,0.329121875,0.2760400497416655
353,300,62.131009633844,0,0,0.325559375,0.27339583804210027
354,63,-0.026334089841545172,0,0,0.32481125,0.25777575633828603
355,89,7.202795981256614,0,0,0.32375437500000004,0.2620478027992034
356,300,106.11993259679731,0,0,0.320191875,0.2905477686723073
357,182,35.61588930683964,0,0,0.3180306250000001,0.28153811165919673
358,66,0.2603236135165563,0,0,0.31724687500000004,0.28284662013704126
359,94,7.734336578898071,0,0,0.3161306250000001,0.2903936676522519
360,55,-2.4308240517178956,0,0,0.31547749999999997,0.2977990546009757
361,300,76.0364597130524,6,1,0.31191499999999994,0.28921813199917473
362,221,42.42592515886853,0,0,0.30929062500000004,0.29031046577708214
363,106,5.222177370976029,0,0,0.30803187500000007,0.29018431283393
364,300,123.3432847290516,13,1,0.30446937500000004,0.2972005757689476
365,155,2.778960023117354,0,0,0.30262875,0.30025459749083366
366,275,53.7881528154677,0,0,0.29936312500000006,0.2953837108612061
367,300,103.91581679083744,16,1,0.29580062500000004,0.29859997044006986
368,103,5.674985618036817,0,0,0.29457749999999994,0.3105279704899464
369,77,-1.295098545432967,0,0,0.293663125,0.2887892877900755
370,273,57.660550302733746,0,0,0.2904212500000001,0.3025752739373581
371,209,47.47135390183668,0,0,0.2879393750000001,0.2998338583411212
372,199,30.55130478354544,0,0,0.28557625,0.2987858328837246
373,248,24.172572234985182,0,0,0.28263125,0.2948268766124402
374,147,18.383040249995823,0,0,0.280885625,0.28644690059480216
375,132,3.6472178470657335,0,0,0.279318125,0.292160960648096
376,271,79.63148957892918,0,0,0.2761,0.29715723338162325
377,101,8.13354261982729,0,0,0.2749006250000001,0.2842000439615533
378,102,0.8828479782421326,0,0,0.273689375,0.2935824553463973
379,300,105.94484252285969,14,1,0.270126875,0.29074573298295336
380,170,15.545611912246837,0,0,0.26810812500000014,0.293146836670006
381,48,-1.8147882919338443,0,0,0.26753812500000007,0.28637382326026756
382,253,27.532323226230133,0,0,0.2645337500000001,0.29295897283572925
383,300,114.69831523670413,31,1,0.2609712500000001,0.3018948901196321
384,165,31.187397671224467,0,0,0.2590118750000001,0.29906554502068144
385,254,66.80606428012364,0,0,0.25599562500000006,0.29935241250071937
386,155,33.08759716031532,0,0,0.254155,0.3106333115408497
387,299,58.01230704061614,0,0,0.2506043750000001,0.31005843407334294
388,300,105.65433849758968,0,0,0.24704187500000008,0.29309381306171417
389,155,20.80294594661229,0,0,0.24520125000000004,0.3003517673861596
390,100,2.0909711210736743,0,0,0.24401375000000003,0.2905332486331463
391,300,102.38187611730115,8,1,0.24045125,0.3015011619031429
392,300,154.28147525696272,49,1,0.2368887500000001,0.30025901794433596
393,300,105.17949647659951,0,0,0.23332625000000007,0.3062720574935277
394,300,93.00389466299576,2,1,0.22976375000000004,0.3013203034798304
395,266,45.32498735738238,0,0,0.22660499999999995,0.306758396383515
396,150,28.701799287415433,0,0,0.22482375,0.3132167570789655
397,300,143.49998241632815,21,1,0.22126124999999996,0.32196620613336563
398,71,-0.4417046255708881,0,0,0.22041812500000002,0.3238269783241648
399,60,-0.18989381852627485,0,0,0.21970562500000002,0.32756218388676644
400,202,50.35477935221164,0,0,0.217306875,0.3198311318560402
401,300,138.33502113066373,29,1,0.213744375,0.3180961692333221
402,228,54.076023910421284,0,0,0.211036875,0.33115065398446303
403,141,24.010974678848385,0,0,0.2093625,0.32633649679363197
404,148,11.093589477481874,0,0,0.20760500000000004,0.32730401750351934
405,109,2.6473557513886723,0,0,0.20631062500000008,0.32653072353349916
406,144,22.742127943522195,0,0,0.20460062499999998,0.32696019558029044
407,264,27.912105332339117,0,0,0.2014656250000001,0.3153973856207096
408,57,-0.1256920105187147,0,0,0.20078875000000007,0.311715341973723
409,250,54.190742464334285,0,0,0.19782,0.3058275651931763
410,104,2.8490960510194148,0,0,0.196585,0.30816231123529947
411,230,72.17676881204908,23,1,0.19385375000000005,0.31389906257390976
412,187,29.706196243397827,0,0,0.19163312500000007,0.3086206897057314
413,300,99.56750150630282,0,0,0.18807062500000005,0.31491101562976836
414,300,70.37139829836869,0,0,0.18450812500000002,0.30874263485272724
415,61,-0.6708929237883217,0,0,0.18378375000000002,0.30631307549163944
416,300,83.08156862869158,0,0,0.18022125,0.3109949227174123
417,300,125.04427719224354,31,1,0.1766587500000001,0.3108452728390694
418,183,42.99678823395187,0,0,0.1744856250000001,0.30949528157059614
419,189,7.868062033339719,0,0,0.17224125,0.30672455464721354
420,108,-0.76656231170554,0,0,0.17095875000000005,0.3116710243953599
421,300,122.32063345070246,10,1,0.16739625000000002,0.3177047888934612
422,120,7.36033819026351,0,0,0.16597125000000013,0.31734785412748656
423,300,122.35400917639251,27,1,0.1624087500000001,0.3301962390045325
424,58,-1.084646125553864,0,0,0.16172000000000009,0.31734629309382933
425,126,12.692069073211139,0,0,0.1602237500000001,0.3305427596446068
426,92,2.489914065287924,0,0,0.15913124999999995,0.32178720394554344
427,116,3.55511783391084,0,0,0.15775375000000003,0.3313763965049694
428,98,2.4905169917281134,0,0,0.15659,0.3284734484492516
429,300,97.9039969623151,20,1,0.1530275000000001,0.30783513257900874
430,300,38.25302240547794,0,0,0.14946500000000007,0.3060049123565356
431,300,80.3815932044637,0,0,0.14590250000000005,0.3046999583641688
432,177,27.44512806072051,0,0,0.14380062500000013,0.30100771010258776
433,131,8.960181347680411,0,0,0.14224499999999995,0.29807975205756326
